
============================================================
  Análisis léxico de: manual_cases/input/high_massive.txt
============================================================

  TOKEN                   LEXEMA                  POSICIÓN
  LPAREN                  '('                     L20:C25
  ID                      'n'                     L20:C26
  MINUS                   '-'                     L20:C28
  INT_LIT                 '1'                     L20:C30
  RPAREN                  ')'                     L20:C31
  SEMI                    ';'                     L20:C32
  RBRACE                  '}'                     L21:C1
  T_INT                   'int'                   L23:C1
  ID                      'main'                  L23:C5
  LPAREN                  '('                     L23:C9
  RPAREN                  ')'                     L23:C10
  LBRACE                  '{'                     L23:C12
  T_INT                   'int'                   L24:C5
  ID                      'x'                     L24:C9
  ASSIGN                  '='                     L24:C11
  HEX_LIT                 '0xFF'                  L24:C13
  SEMI                    ';'                     L24:C17
  T_INT                   'int'                   L25:C5
  ID                      'y'                     L25:C9
  ASSIGN                  '='                     L25:C11
  INT_LIT                 '42'                    L25:C13
  SEMI                    ';'                     L25:C15
  T_FLOAT                 'float'                 L26:C5
  ID                      'z'                     L26:C11
  ASSIGN                  '='                     L26:C13
  FLOAT_LIT               '1.5'                   L26:C15
  SEMI                    ';'                     L26:C18
  FOR                     'for'                   L28:C5
  LPAREN                  '('                     L28:C9
  T_INT                   'int'                   L28:C10
  ID                      'i'                     L28:C14
  ASSIGN                  '='                     L28:C16
  INT_LIT                 '0'                     L28:C18
  SEMI                    ';'                     L28:C19
  ID                      'i'                     L28:C21
  LT                      '<'                     L28:C23
  INT_LIT                 '10'                    L28:C25
  SEMI                    ';'                     L28:C27
  ID                      'i'                     L28:C29
  INC                     '++'                    L28:C30
  RPAREN                  ')'                     L28:C32
  LBRACE                  '{'                     L28:C34
  ID                      'arr'                   L29:C9
  LBRACKET                '['                     L29:C12
  ID                      'i'                     L29:C13
  RBRACKET                ']'                     L29:C14
  ASSIGN                  '='                     L29:C16
  ID                      'i'                     L29:C18
  TIMES                   '*'                     L29:C20
  INT_LIT                 '2'                     L29:C22
  SEMI                    ';'                     L29:C23
  ID                      'counter'               L30:C9
  INC                     '++'                    L30:C16
  SEMI                    ';'                     L30:C18
  RBRACE                  '}'                     L31:C5
  IF                      'if'                    L33:C5
  LPAREN                  '('                     L33:C8
  ID                      'x'                     L33:C9
  EQ                      '=='                    L33:C11
  ID                      'y'                     L33:C14
  OR                      '||'                    L33:C16
  ID                      'x'                     L33:C19
  NEQ                     '!='                    L33:C21
  INT_LIT                 '0'                     L33:C24
  RPAREN                  ')'                     L33:C25
  LBRACE                  '{'                     L33:C27
  ID                      'x'                     L34:C9
  PLUS_ASSIGN             '+='                    L34:C11
  INT_LIT                 '10'                    L34:C14
  SEMI                    ';'                     L34:C16
  ID                      'y'                     L35:C9
  MINUS_ASSIGN            '-='                    L35:C11
  INT_LIT                 '5'                     L35:C14
  SEMI                    ';'                     L35:C15
  RBRACE                  '}'                     L36:C5
  ELSE                    'else'                  L36:C7
  LBRACE                  '{'                     L36:C12
  ID                      'x'                     L37:C9
  TIMES_ASSIGN            '*='                    L37:C11
  INT_LIT                 '2'                     L37:C14
  SEMI                    ';'                     L37:C15
  ID                      'y'                     L38:C9
  DIV_ASSIGN              '/='                    L38:C11
  INT_LIT                 '3'                     L38:C14
  SEMI                    ';'                     L38:C15
  RBRACE                  '}'                     L39:C5
  WHILE                   'while'                 L41:C5
  LPAREN                  '('                     L41:C11
  ID                      'y'                     L41:C12
  GT                      '>'                     L41:C14
  INT_LIT                 '0'                     L41:C16
  AND                     '&&'                    L41:C18
  ID                      'x'                     L41:C21
  LT                      '<'                     L41:C23
  INT_LIT                 '100'                   L41:C25
  RPAREN                  ')'                     L41:C28
  LBRACE                  '{'                     L41:C30
  ID                      'y'                     L42:C9
  DEC                     '--'                    L42:C10
  SEMI                    ';'                     L42:C12
  ID                      'x'                     L43:C9
  INC                     '++'                    L43:C10
  SEMI                    ';'                     L43:C12
  IF                      'if'                    L44:C9
  LPAREN                  '('                     L44:C12
  ID                      'y'                     L44:C13
  MOD                     '%'                     L44:C15
  INT_LIT                 '2'                     L44:C17
  EQ                      '=='                    L44:C19
  INT_LIT                 '0'                     L44:C22
  RPAREN                  ')'                     L44:C23
  LBRACE                  '{'                     L44:C25
  CONTINUE                'continue'              L45:C13
  SEMI                    ';'                     L45:C21
  RBRACE                  '}'                     L46:C9
  IF                      'if'                    L47:C9
  LPAREN                  '('                     L47:C12
  ID                      'x'                     L47:C13
  GT                      '>'                     L47:C15
  INT_LIT                 '50'                    L47:C17
  RPAREN                  ')'                     L47:C19
  LBRACE                  '{'                     L47:C21
  BREAK                   'break'                 L48:C13
  SEMI                    ';'                     L48:C18
  RBRACE                  '}'                     L49:C9
  RBRACE                  '}'                     L50:C5
  T_INT                   'int'                   L52:C5
  ID                      'result'                L52:C9
  ASSIGN                  '='                     L52:C16
  ID                      'factorial'             L52:C18
  LPAREN                  '('                     L52:C27
  INT_LIT                 '5'                     L52:C28
  RPAREN                  ')'                     L52:C29
  SEMI                    ';'                     L52:C30
  ID                      'Point'                 L53:C5
  ID                      'p'                     L53:C11
  SEMI                    ';'                     L53:C12
  ID                      'p'                     L54:C5
  DOT                     '.'                     L54:C6
  ID                      'x'                     L54:C7
  ASSIGN                  '='                     L54:C9
  ID                      'result'                L54:C11
  SEMI                    ';'                     L54:C17
  ID                      'p'                     L55:C5
  DOT                     '.'                     L55:C6
  ID                      'y'                     L55:C7
  ASSIGN                  '='                     L55:C9
  ID                      'counter'               L55:C11
  SEMI                    ';'                     L55:C18
  ID                      'bool'                  L57:C5
  ID                      'flag'                  L57:C10
  ASSIGN                  '='                     L57:C15
  TRUE                    'true'                  L57:C17
  SEMI                    ';'                     L57:C21
  IF                      'if'                    L58:C5
  LPAREN                  '('                     L58:C8
  NOT                     '!'                     L58:C9
  ID                      'flag'                  L58:C10
  OR                      '||'                    L58:C15
  ID                      'result'                L58:C18
  EQ                      '=='                    L58:C25
  NULL_KW                 'null'                  L58:C28
  RPAREN                  ')'                     L58:C32
  LBRACE                  '{'                     L58:C34
  RETURN                  'return'                L59:C9
  INT_LIT                 '0'                     L59:C16
  SEMI                    ';'                     L59:C17
  RBRACE                  '}'                     L60:C5
  T_INT                   'int'                   L62:C5
  ID                      'shifted'               L62:C9
  ASSIGN                  '='                     L62:C17
  ID                      'x'                     L62:C19
  LSHIFT                  '<<'                    L62:C21
  INT_LIT                 '2'                     L62:C24
  SEMI                    ';'                     L62:C25
  ID                      'shifted'               L63:C5
  ASSIGN                  '='                     L63:C13
  ID                      'shifted'               L63:C15
  RSHIFT                  '>>'                    L63:C23
  INT_LIT                 '1'                     L63:C26
  SEMI                    ';'                     L63:C27
  RETURN                  'return'                L65:C5
  ID                      'result'                L65:C12
  SEMI                    ';'                     L65:C18
  RBRACE                  '}'                     L66:C1
  STRUCT                  'struct'                L68:C1
  ID                      'Point'                 L68:C8
  LBRACE                  '{'                     L68:C14
  T_INT                   'int'                   L69:C5
  ID                      'x'                     L69:C9
  SEMI                    ';'                     L69:C10
  T_INT                   'int'                   L70:C5
  ID                      'y'                     L70:C9
  SEMI                    ';'                     L70:C10
  RBRACE                  '}'                     L71:C1
  SEMI                    ';'                     L71:C2
  CONST                   'const'                 L73:C1
  T_FLOAT                 'float'                 L73:C7
  ID                      'PI'                    L73:C13
  ASSIGN                  '='                     L73:C16
  FLOAT_LIT               '3.14'                  L73:C18
  SEMI                    ';'                     L73:C22
  T_INT                   'int'                   L74:C1
  ID                      'counter'               L74:C5
  ASSIGN                  '='                     L74:C13
  INT_LIT                 '0'                     L74:C15
  SEMI                    ';'                     L74:C16
  T_INT                   'int'                   L75:C1
  ID                      'arr'                   L75:C5
  LBRACKET                '['                     L75:C8
  INT_LIT                 '10'                    L75:C9
  RBRACKET                ']'                     L75:C11
  SEMI                    ';'                     L75:C12
  T_VOID                  'void'                  L77:C1
  ID                      'swap'                  L77:C6
  LPAREN                  '('                     L77:C10
  T_INT                   'int'                   L77:C11
  ID                      'a'                     L77:C15
  COMMA                   ','                     L77:C16
  T_INT                   'int'                   L77:C18
  ID                      'b'                     L77:C22
  RPAREN                  ')'                     L77:C23
  LBRACE                  '{'                     L77:C25
  T_INT                   'int'                   L78:C5
  ID                      'temp'                  L78:C9
  ASSIGN                  '='                     L78:C14
  ID                      'a'                     L78:C16
  SEMI                    ';'                     L78:C17
  ID                      'a'                     L79:C5
  ASSIGN                  '='                     L79:C7
  ID                      'b'                     L79:C9
  SEMI                    ';'                     L79:C10
  ID                      'b'                     L80:C5
  ASSIGN                  '='                     L80:C7
  ID                      'temp'                  L80:C9
  SEMI                    ';'                     L80:C13
  RBRACE                  '}'                     L81:C1
  T_INT                   'int'                   L83:C1
  ID                      'factorial'             L83:C5
  LPAREN                  '('                     L83:C14
  T_INT                   'int'                   L83:C15
  ID                      'n'                     L83:C19
  RPAREN                  ')'                     L83:C20
  LBRACE                  '{'                     L83:C22
  IF                      'if'                    L84:C5
  LPAREN                  '('                     L84:C8
  ID                      'n'                     L84:C9
  LEQ                     '<='                    L84:C11
  INT_LIT                 '1'                     L84:C14
  RPAREN                  ')'                     L84:C15
  LBRACE                  '{'                     L84:C17
  RETURN                  'return'                L85:C9
  INT_LIT                 '1'                     L85:C16
  SEMI                    ';'                     L85:C17
  RBRACE                  '}'                     L86:C5
  RETURN                  'return'                L87:C5
  ID                      'n'                     L87:C12
  TIMES                   '*'                     L87:C14
  ID                      'factorial'             L87:C16
  LPAREN                  '('                     L87:C25
  ID                      'n'                     L87:C26
  MINUS                   '-'                     L87:C28
  INT_LIT                 '1'                     L87:C30
  RPAREN                  ')'                     L87:C31
  SEMI                    ';'                     L87:C32
  RBRACE                  '}'                     L88:C1
  T_INT                   'int'                   L90:C1
  ID                      'main'                  L90:C5
  LPAREN                  '('                     L90:C9
  RPAREN                  ')'                     L90:C10
  LBRACE                  '{'                     L90:C12
  T_INT                   'int'                   L91:C5
  ID                      'x'                     L91:C9
  ASSIGN                  '='                     L91:C11
  HEX_LIT                 '0xFF'                  L91:C13
  SEMI                    ';'                     L91:C17
  T_INT                   'int'                   L92:C5
  ID                      'y'                     L92:C9
  ASSIGN                  '='                     L92:C11
  INT_LIT                 '42'                    L92:C13
  SEMI                    ';'                     L92:C15
  T_FLOAT                 'float'                 L93:C5
  ID                      'z'                     L93:C11
  ASSIGN                  '='                     L93:C13
  FLOAT_LIT               '1.5'                   L93:C15
  SEMI                    ';'                     L93:C18
  FOR                     'for'                   L95:C5
  LPAREN                  '('                     L95:C9
  T_INT                   'int'                   L95:C10
  ID                      'i'                     L95:C14
  ASSIGN                  '='                     L95:C16
  INT_LIT                 '0'                     L95:C18
  SEMI                    ';'                     L95:C19
  ID                      'i'                     L95:C21
  LT                      '<'                     L95:C23
  INT_LIT                 '10'                    L95:C25
  SEMI                    ';'                     L95:C27
  ID                      'i'                     L95:C29
  INC                     '++'                    L95:C30
  RPAREN                  ')'                     L95:C32
  LBRACE                  '{'                     L95:C34
  ID                      'arr'                   L96:C9
  LBRACKET                '['                     L96:C12
  ID                      'i'                     L96:C13
  RBRACKET                ']'                     L96:C14
  ASSIGN                  '='                     L96:C16
  ID                      'i'                     L96:C18
  TIMES                   '*'                     L96:C20
  INT_LIT                 '2'                     L96:C22
  SEMI                    ';'                     L96:C23
  ID                      'counter'               L97:C9
  INC                     '++'                    L97:C16
  SEMI                    ';'                     L97:C18
  RBRACE                  '}'                     L98:C5
  IF                      'if'                    L100:C5
  LPAREN                  '('                     L100:C8
  ID                      'x'                     L100:C9
  EQ                      '=='                    L100:C11
  ID                      'y'                     L100:C14
  OR                      '||'                    L100:C16
  ID                      'x'                     L100:C19
  NEQ                     '!='                    L100:C21
  INT_LIT                 '0'                     L100:C24
  RPAREN                  ')'                     L100:C25
  LBRACE                  '{'                     L100:C27
  ID                      'x'                     L101:C9
  PLUS_ASSIGN             '+='                    L101:C11
  INT_LIT                 '10'                    L101:C14
  SEMI                    ';'                     L101:C16
  ID                      'y'                     L102:C9
  MINUS_ASSIGN            '-='                    L102:C11
  INT_LIT                 '5'                     L102:C14
  SEMI                    ';'                     L102:C15
  RBRACE                  '}'                     L103:C5
  ELSE                    'else'                  L103:C7
  LBRACE                  '{'                     L103:C12
  ID                      'x'                     L104:C9
  TIMES_ASSIGN            '*='                    L104:C11
  INT_LIT                 '2'                     L104:C14
  SEMI                    ';'                     L104:C15
  ID                      'y'                     L105:C9
  DIV_ASSIGN              '/='                    L105:C11
  INT_LIT                 '3'                     L105:C14
  SEMI                    ';'                     L105:C15
  RBRACE                  '}'                     L106:C5
  WHILE                   'while'                 L108:C5
  LPAREN                  '('                     L108:C11
  ID                      'y'                     L108:C12
  GT                      '>'                     L108:C14
  INT_LIT                 '0'                     L108:C16
  AND                     '&&'                    L108:C18
  ID                      'x'                     L108:C21
  LT                      '<'                     L108:C23
  INT_LIT                 '100'                   L108:C25
  RPAREN                  ')'                     L108:C28
  LBRACE                  '{'                     L108:C30
  ID                      'y'                     L109:C9
  DEC                     '--'                    L109:C10
  SEMI                    ';'                     L109:C12
  ID                      'x'                     L110:C9
  INC                     '++'                    L110:C10
  SEMI                    ';'                     L110:C12
  IF                      'if'                    L111:C9
  LPAREN                  '('                     L111:C12
  ID                      'y'                     L111:C13
  MOD                     '%'                     L111:C15
  INT_LIT                 '2'                     L111:C17
  EQ                      '=='                    L111:C19
  INT_LIT                 '0'                     L111:C22
  RPAREN                  ')'                     L111:C23
  LBRACE                  '{'                     L111:C25
  CONTINUE                'continue'              L112:C13
  SEMI                    ';'                     L112:C21
  RBRACE                  '}'                     L113:C9
  IF                      'if'                    L114:C9
  LPAREN                  '('                     L114:C12
  ID                      'x'                     L114:C13
  GT                      '>'                     L114:C15
  INT_LIT                 '50'                    L114:C17
  RPAREN                  ')'                     L114:C19
  LBRACE                  '{'                     L114:C21
  BREAK                   'break'                 L115:C13
  SEMI                    ';'                     L115:C18
  RBRACE                  '}'                     L116:C9
  RBRACE                  '}'                     L117:C5
  T_INT                   'int'                   L119:C5
  ID                      'result'                L119:C9
  ASSIGN                  '='                     L119:C16
  ID                      'factorial'             L119:C18
  LPAREN                  '('                     L119:C27
  INT_LIT                 '5'                     L119:C28
  RPAREN                  ')'                     L119:C29
  SEMI                    ';'                     L119:C30
  ID                      'Point'                 L120:C5
  ID                      'p'                     L120:C11
  SEMI                    ';'                     L120:C12
  ID                      'p'                     L121:C5
  DOT                     '.'                     L121:C6
  ID                      'x'                     L121:C7
  ASSIGN                  '='                     L121:C9
  ID                      'result'                L121:C11
  SEMI                    ';'                     L121:C17
  ID                      'p'                     L122:C5
  DOT                     '.'                     L122:C6
  ID                      'y'                     L122:C7
  ASSIGN                  '='                     L122:C9
  ID                      'counter'               L122:C11
  SEMI                    ';'                     L122:C18
  ID                      'bool'                  L124:C5
  ID                      'flag'                  L124:C10
  ASSIGN                  '='                     L124:C15
  TRUE                    'true'                  L124:C17
  SEMI                    ';'                     L124:C21
  IF                      'if'                    L125:C5
  LPAREN                  '('                     L125:C8
  NOT                     '!'                     L125:C9
  ID                      'flag'                  L125:C10
  OR                      '||'                    L125:C15
  ID                      'result'                L125:C18
  EQ                      '=='                    L125:C25
  NULL_KW                 'null'                  L125:C28
  RPAREN                  ')'                     L125:C32
  LBRACE                  '{'                     L125:C34
  RETURN                  'return'                L126:C9
  INT_LIT                 '0'                     L126:C16
  SEMI                    ';'                     L126:C17
  RBRACE                  '}'                     L127:C5
  T_INT                   'int'                   L129:C5
  ID                      'shifted'               L129:C9
  ASSIGN                  '='                     L129:C17
  ID                      'x'                     L129:C19
  LSHIFT                  '<<'                    L129:C21
  INT_LIT                 '2'                     L129:C24
  SEMI                    ';'                     L129:C25
  ID                      'shifted'               L130:C5
  ASSIGN                  '='                     L130:C13
  ID                      'shifted'               L130:C15
  RSHIFT                  '>>'                    L130:C23
  INT_LIT                 '1'                     L130:C26
  SEMI                    ';'                     L130:C27
  RETURN                  'return'                L132:C5
  ID                      'result'                L132:C12
  SEMI                    ';'                     L132:C18
  RBRACE                  '}'                     L133:C1
  STRUCT                  'struct'                L135:C1
  ID                      'Point'                 L135:C8
  LBRACE                  '{'                     L135:C14
  T_INT                   'int'                   L136:C5
  ID                      'x'                     L136:C9
  SEMI                    ';'                     L136:C10
  T_INT                   'int'                   L137:C5
  ID                      'y'                     L137:C9
  SEMI                    ';'                     L137:C10
  RBRACE                  '}'                     L138:C1
  SEMI                    ';'                     L138:C2
  CONST                   'const'                 L140:C1
  T_FLOAT                 'float'                 L140:C7
  ID                      'PI'                    L140:C13
  ASSIGN                  '='                     L140:C16
  FLOAT_LIT               '3.14'                  L140:C18
  SEMI                    ';'                     L140:C22
  T_INT                   'int'                   L141:C1
  ID                      'counter'               L141:C5
  ASSIGN                  '='                     L141:C13
  INT_LIT                 '0'                     L141:C15
  SEMI                    ';'                     L141:C16
  T_INT                   'int'                   L142:C1
  ID                      'arr'                   L142:C5
  LBRACKET                '['                     L142:C8
  INT_LIT                 '10'                    L142:C9
  RBRACKET                ']'                     L142:C11
  SEMI                    ';'                     L142:C12
  T_VOID                  'void'                  L144:C1
  ID                      'swap'                  L144:C6
  LPAREN                  '('                     L144:C10
  T_INT                   'int'                   L144:C11
  ID                      'a'                     L144:C15
  COMMA                   ','                     L144:C16
  T_INT                   'int'                   L144:C18
  ID                      'b'                     L144:C22
  RPAREN                  ')'                     L144:C23
  LBRACE                  '{'                     L144:C25
  T_INT                   'int'                   L145:C5
  ID                      'temp'                  L145:C9
  ASSIGN                  '='                     L145:C14
  ID                      'a'                     L145:C16
  SEMI                    ';'                     L145:C17
  ID                      'a'                     L146:C5
  ASSIGN                  '='                     L146:C7
  ID                      'b'                     L146:C9
  SEMI                    ';'                     L146:C10
  ID                      'b'                     L147:C5
  ASSIGN                  '='                     L147:C7
  ID                      'temp'                  L147:C9
  SEMI                    ';'                     L147:C13
  RBRACE                  '}'                     L148:C1
  T_INT                   'int'                   L150:C1
  ID                      'factorial'             L150:C5
  LPAREN                  '('                     L150:C14
  T_INT                   'int'                   L150:C15
  ID                      'n'                     L150:C19
  RPAREN                  ')'                     L150:C20
  LBRACE                  '{'                     L150:C22
  IF                      'if'                    L151:C5
  LPAREN                  '('                     L151:C8
  ID                      'n'                     L151:C9
  LEQ                     '<='                    L151:C11
  INT_LIT                 '1'                     L151:C14
  RPAREN                  ')'                     L151:C15
  LBRACE                  '{'                     L151:C17
  RETURN                  'return'                L152:C9
  INT_LIT                 '1'                     L152:C16
  SEMI                    ';'                     L152:C17
  RBRACE                  '}'                     L153:C5
  RETURN                  'return'                L154:C5
  ID                      'n'                     L154:C12
  TIMES                   '*'                     L154:C14
  ID                      'factorial'             L154:C16
  LPAREN                  '('                     L154:C25
  ID                      'n'                     L154:C26
  MINUS                   '-'                     L154:C28
  INT_LIT                 '1'                     L154:C30
  RPAREN                  ')'                     L154:C31
  SEMI                    ';'                     L154:C32
  RBRACE                  '}'                     L155:C1
  T_INT                   'int'                   L157:C1
  ID                      'main'                  L157:C5
  LPAREN                  '('                     L157:C9
  RPAREN                  ')'                     L157:C10
  LBRACE                  '{'                     L157:C12
  T_INT                   'int'                   L158:C5
  ID                      'x'                     L158:C9
  ASSIGN                  '='                     L158:C11
  HEX_LIT                 '0xFF'                  L158:C13
  SEMI                    ';'                     L158:C17
  T_INT                   'int'                   L159:C5
  ID                      'y'                     L159:C9
  ASSIGN                  '='                     L159:C11
  INT_LIT                 '42'                    L159:C13
  SEMI                    ';'                     L159:C15
  T_FLOAT                 'float'                 L160:C5
  ID                      'z'                     L160:C11
  ASSIGN                  '='                     L160:C13
  FLOAT_LIT               '1.5'                   L160:C15
  SEMI                    ';'                     L160:C18
  FOR                     'for'                   L162:C5
  LPAREN                  '('                     L162:C9
  T_INT                   'int'                   L162:C10
  ID                      'i'                     L162:C14
  ASSIGN                  '='                     L162:C16
  INT_LIT                 '0'                     L162:C18
  SEMI                    ';'                     L162:C19
  ID                      'i'                     L162:C21
  LT                      '<'                     L162:C23
  INT_LIT                 '10'                    L162:C25
  SEMI                    ';'                     L162:C27
  ID                      'i'                     L162:C29
  INC                     '++'                    L162:C30
  RPAREN                  ')'                     L162:C32
  LBRACE                  '{'                     L162:C34
  ID                      'arr'                   L163:C9
  LBRACKET                '['                     L163:C12
  ID                      'i'                     L163:C13
  RBRACKET                ']'                     L163:C14
  ASSIGN                  '='                     L163:C16
  ID                      'i'                     L163:C18
  TIMES                   '*'                     L163:C20
  INT_LIT                 '2'                     L163:C22
  SEMI                    ';'                     L163:C23
  ID                      'counter'               L164:C9
  INC                     '++'                    L164:C16
  SEMI                    ';'                     L164:C18
  RBRACE                  '}'                     L165:C5
  IF                      'if'                    L167:C5
  LPAREN                  '('                     L167:C8
  ID                      'x'                     L167:C9
  EQ                      '=='                    L167:C11
  ID                      'y'                     L167:C14
  OR                      '||'                    L167:C16
  ID                      'x'                     L167:C19
  NEQ                     '!='                    L167:C21
  INT_LIT                 '0'                     L167:C24
  RPAREN                  ')'                     L167:C25
  LBRACE                  '{'                     L167:C27
  ID                      'x'                     L168:C9
  PLUS_ASSIGN             '+='                    L168:C11
  INT_LIT                 '10'                    L168:C14
  SEMI                    ';'                     L168:C16
  ID                      'y'                     L169:C9
  MINUS_ASSIGN            '-='                    L169:C11
  INT_LIT                 '5'                     L169:C14
  SEMI                    ';'                     L169:C15
  RBRACE                  '}'                     L170:C5
  ELSE                    'else'                  L170:C7
  LBRACE                  '{'                     L170:C12
  ID                      'x'                     L171:C9
  TIMES_ASSIGN            '*='                    L171:C11
  INT_LIT                 '2'                     L171:C14
  SEMI                    ';'                     L171:C15
  ID                      'y'                     L172:C9
  DIV_ASSIGN              '/='                    L172:C11
  INT_LIT                 '3'                     L172:C14
  SEMI                    ';'                     L172:C15
  RBRACE                  '}'                     L173:C5
  WHILE                   'while'                 L175:C5
  LPAREN                  '('                     L175:C11
  ID                      'y'                     L175:C12
  GT                      '>'                     L175:C14
  INT_LIT                 '0'                     L175:C16
  AND                     '&&'                    L175:C18
  ID                      'x'                     L175:C21
  LT                      '<'                     L175:C23
  INT_LIT                 '100'                   L175:C25
  RPAREN                  ')'                     L175:C28
  LBRACE                  '{'                     L175:C30
  ID                      'y'                     L176:C9
  DEC                     '--'                    L176:C10
  SEMI                    ';'                     L176:C12
  ID                      'x'                     L177:C9
  INC                     '++'                    L177:C10
  SEMI                    ';'                     L177:C12
  IF                      'if'                    L178:C9
  LPAREN                  '('                     L178:C12
  ID                      'y'                     L178:C13
  MOD                     '%'                     L178:C15
  INT_LIT                 '2'                     L178:C17
  EQ                      '=='                    L178:C19
  INT_LIT                 '0'                     L178:C22
  RPAREN                  ')'                     L178:C23
  LBRACE                  '{'                     L178:C25
  CONTINUE                'continue'              L179:C13
  SEMI                    ';'                     L179:C21
  RBRACE                  '}'                     L180:C9
  IF                      'if'                    L181:C9
  LPAREN                  '('                     L181:C12
  ID                      'x'                     L181:C13
  GT                      '>'                     L181:C15
  INT_LIT                 '50'                    L181:C17
  RPAREN                  ')'                     L181:C19
  LBRACE                  '{'                     L181:C21
  BREAK                   'break'                 L182:C13
  SEMI                    ';'                     L182:C18
  RBRACE                  '}'                     L183:C9
  RBRACE                  '}'                     L184:C5
  T_INT                   'int'                   L186:C5
  ID                      'result'                L186:C9
  ASSIGN                  '='                     L186:C16
  ID                      'factorial'             L186:C18
  LPAREN                  '('                     L186:C27
  INT_LIT                 '5'                     L186:C28
  RPAREN                  ')'                     L186:C29
  SEMI                    ';'                     L186:C30
  ID                      'Point'                 L187:C5
  ID                      'p'                     L187:C11
  SEMI                    ';'                     L187:C12
  ID                      'p'                     L188:C5
  DOT                     '.'                     L188:C6
  ID                      'x'                     L188:C7
  ASSIGN                  '='                     L188:C9
  ID                      'result'                L188:C11
  SEMI                    ';'                     L188:C17
  ID                      'p'                     L189:C5
  DOT                     '.'                     L189:C6
  ID                      'y'                     L189:C7
  ASSIGN                  '='                     L189:C9
  ID                      'counter'               L189:C11
  SEMI                    ';'                     L189:C18
  ID                      'bool'                  L191:C5
  ID                      'flag'                  L191:C10
  ASSIGN                  '='                     L191:C15
  TRUE                    'true'                  L191:C17
  SEMI                    ';'                     L191:C21
  IF                      'if'                    L192:C5
  LPAREN                  '('                     L192:C8
  NOT                     '!'                     L192:C9
  ID                      'flag'                  L192:C10
  OR                      '||'                    L192:C15
  ID                      'result'                L192:C18
  EQ                      '=='                    L192:C25
  NULL_KW                 'null'                  L192:C28
  RPAREN                  ')'                     L192:C32
  LBRACE                  '{'                     L192:C34
  RETURN                  'return'                L193:C9
  INT_LIT                 '0'                     L193:C16
  SEMI                    ';'                     L193:C17
  RBRACE                  '}'                     L194:C5
  T_INT                   'int'                   L196:C5
  ID                      'shifted'               L196:C9
  ASSIGN                  '='                     L196:C17
  ID                      'x'                     L196:C19
  LSHIFT                  '<<'                    L196:C21
  INT_LIT                 '2'                     L196:C24
  SEMI                    ';'                     L196:C25
  ID                      'shifted'               L197:C5
  ASSIGN                  '='                     L197:C13
  ID                      'shifted'               L197:C15
