Token('STRUCT', 'struct', line=1, col=1)
Token('T_INT', 'int', line=16, col=15)
Token('ID', 'n', line=16, col=19)
Token('RPAREN', ')', line=16, col=20)
Token('LBRACE', '{', line=16, col=22)
Token('IF', 'if', line=17, col=5)
Token('LPAREN', '(', line=17, col=8)
Token('ID', 'n', line=17, col=9)
Token('LEQ', '<=', line=17, col=11)
Token('INT_LIT', '1', line=17, col=14)
Token('RPAREN', ')', line=17, col=15)
Token('LBRACE', '{', line=17, col=17)
Token('RETURN', 'return', line=18, col=9)
Token('INT_LIT', '1', line=18, col=16)
Token('SEMI', ';', line=18, col=17)
Token('RBRACE', '}', line=19, col=5)
Token('RETURN', 'return', line=20, col=5)
Token('ID', 'n', line=20, col=12)
Token('TIMES', '*', line=20, col=14)
Token('ID', 'factorial', line=20, col=16)
Token('LPAREN', '(', line=20, col=25)
Token('ID', 'n', line=20, col=26)
Token('MINUS', '-', line=20, col=28)
Token('INT_LIT', '1', line=20, col=30)
Token('RPAREN', ')', line=20, col=31)
Token('SEMI', ';', line=20, col=32)
Token('RBRACE', '}', line=21, col=1)
Token('T_INT', 'int', line=23, col=1)
Token('ID', 'main', line=23, col=5)
Token('LPAREN', '(', line=23, col=9)
Token('RPAREN', ')', line=23, col=10)
Token('LBRACE', '{', line=23, col=12)
Token('T_INT', 'int', line=24, col=5)
Token('ID', 'x', line=24, col=9)
Token('ASSIGN', '=', line=24, col=11)
Token('HEX_LIT', '0xFF', line=24, col=13)
Token('SEMI', ';', line=24, col=17)
Token('T_INT', 'int', line=25, col=5)
Token('ID', 'y', line=25, col=9)
Token('ASSIGN', '=', line=25, col=11)
Token('INT_LIT', '42', line=25, col=13)
Token('SEMI', ';', line=25, col=15)
Token('T_FLOAT', 'float', line=26, col=5)
Token('ID', 'z', line=26, col=11)
Token('ASSIGN', '=', line=26, col=13)
Token('FLOAT_LIT', '1.5', line=26, col=15)
Token('SEMI', ';', line=26, col=18)
Token('FOR', 'for', line=28, col=5)
Token('LPAREN', '(', line=28, col=9)
Token('T_INT', 'int', line=28, col=10)
Token('ID', 'i', line=28, col=14)
Token('ASSIGN', '=', line=28, col=16)
Token('INT_LIT', '0', line=28, col=18)
Token('SEMI', ';', line=28, col=19)
Token('ID', 'i', line=28, col=21)
Token('LT', '<', line=28, col=23)
Token('INT_LIT', '10', line=28, col=25)
Token('SEMI', ';', line=28, col=27)
Token('ID', 'i', line=28, col=29)
Token('INC', '++', line=28, col=30)
Token('RPAREN', ')', line=28, col=32)
Token('LBRACE', '{', line=28, col=34)
Token('ID', 'arr', line=29, col=9)
Token('LBRACKET', '[', line=29, col=12)
Token('ID', 'i', line=29, col=13)
Token('RBRACKET', ']', line=29, col=14)
Token('ASSIGN', '=', line=29, col=16)
Token('ID', 'i', line=29, col=18)
Token('TIMES', '*', line=29, col=20)
Token('INT_LIT', '2', line=29, col=22)
Token('SEMI', ';', line=29, col=23)
Token('ID', 'counter', line=30, col=9)
Token('INC', '++', line=30, col=16)
Token('SEMI', ';', line=30, col=18)
Token('RBRACE', '}', line=31, col=5)
Token('IF', 'if', line=33, col=5)
Token('LPAREN', '(', line=33, col=8)
Token('ID', 'x', line=33, col=9)
Token('EQ', '==', line=33, col=11)
Token('ID', 'y', line=33, col=14)
Token('OR', '||', line=33, col=16)
Token('ID', 'x', line=33, col=19)
Token('NEQ', '!=', line=33, col=21)
Token('INT_LIT', '0', line=33, col=24)
Token('RPAREN', ')', line=33, col=25)
Token('LBRACE', '{', line=33, col=27)
Token('ID', 'x', line=34, col=9)
Token('PLUS_ASSIGN', '+=', line=34, col=11)
Token('INT_LIT', '10', line=34, col=14)
Token('SEMI', ';', line=34, col=16)
Token('ID', 'y', line=35, col=9)
Token('MINUS_ASSIGN', '-=', line=35, col=11)
Token('INT_LIT', '5', line=35, col=14)
Token('SEMI', ';', line=35, col=15)
Token('RBRACE', '}', line=36, col=5)
Token('ELSE', 'else', line=36, col=7)
Token('LBRACE', '{', line=36, col=12)
Token('ID', 'x', line=37, col=9)
Token('TIMES_ASSIGN', '*=', line=37, col=11)
Token('INT_LIT', '2', line=37, col=14)
Token('SEMI', ';', line=37, col=15)
Token('ID', 'y', line=38, col=9)
Token('DIV_ASSIGN', '/=', line=38, col=11)
Token('INT_LIT', '3', line=38, col=14)
Token('SEMI', ';', line=38, col=15)
Token('RBRACE', '}', line=39, col=5)
Token('WHILE', 'while', line=41, col=5)
Token('LPAREN', '(', line=41, col=11)
Token('ID', 'y', line=41, col=12)
Token('GT', '>', line=41, col=14)
Token('INT_LIT', '0', line=41, col=16)
Token('AND', '&&', line=41, col=18)
Token('ID', 'x', line=41, col=21)
Token('LT', '<', line=41, col=23)
Token('INT_LIT', '100', line=41, col=25)
Token('RPAREN', ')', line=41, col=28)
Token('LBRACE', '{', line=41, col=30)
Token('ID', 'y', line=42, col=9)
Token('DEC', '--', line=42, col=10)
Token('SEMI', ';', line=42, col=12)
Token('ID', 'x', line=43, col=9)
Token('INC', '++', line=43, col=10)
Token('SEMI', ';', line=43, col=12)
Token('IF', 'if', line=44, col=9)
Token('LPAREN', '(', line=44, col=12)
Token('ID', 'y', line=44, col=13)
Token('MOD', '%', line=44, col=15)
Token('INT_LIT', '2', line=44, col=17)
Token('EQ', '==', line=44, col=19)
Token('INT_LIT', '0', line=44, col=22)
Token('RPAREN', ')', line=44, col=23)
Token('LBRACE', '{', line=44, col=25)
Token('CONTINUE', 'continue', line=45, col=13)
Token('SEMI', ';', line=45, col=21)
Token('RBRACE', '}', line=46, col=9)
Token('IF', 'if', line=47, col=9)
Token('LPAREN', '(', line=47, col=12)
Token('ID', 'x', line=47, col=13)
Token('GT', '>', line=47, col=15)
Token('INT_LIT', '50', line=47, col=17)
Token('RPAREN', ')', line=47, col=19)
Token('LBRACE', '{', line=47, col=21)
Token('BREAK', 'break', line=48, col=13)
Token('SEMI', ';', line=48, col=18)
Token('RBRACE', '}', line=49, col=9)
Token('RBRACE', '}', line=50, col=5)
Token('T_INT', 'int', line=52, col=5)
Token('ID', 'result', line=52, col=9)
Token('ASSIGN', '=', line=52, col=16)
Token('ID', 'factorial', line=52, col=18)
Token('LPAREN', '(', line=52, col=27)
Token('INT_LIT', '5', line=52, col=28)
Token('RPAREN', ')', line=52, col=29)
Token('SEMI', ';', line=52, col=30)
Token('ID', 'Point', line=53, col=5)
Token('ID', 'p', line=53, col=11)
Token('SEMI', ';', line=53, col=12)
Token('ID', 'p', line=54, col=5)
Token('DOT', '.', line=54, col=6)
Token('ID', 'x', line=54, col=7)
Token('ASSIGN', '=', line=54, col=9)
Token('ID', 'result', line=54, col=11)
Token('SEMI', ';', line=54, col=17)
Token('ID', 'p', line=55, col=5)
Token('DOT', '.', line=55, col=6)
Token('ID', 'y', line=55, col=7)
Token('ASSIGN', '=', line=55, col=9)
Token('ID', 'counter', line=55, col=11)
Token('SEMI', ';', line=55, col=18)
Token('ID', 'bool', line=57, col=5)
Token('ID', 'flag', line=57, col=10)
Token('ASSIGN', '=', line=57, col=15)
Token('TRUE', 'true', line=57, col=17)
Token('SEMI', ';', line=57, col=21)
Token('IF', 'if', line=58, col=5)
Token('LPAREN', '(', line=58, col=8)
Token('NOT', '!', line=58, col=9)
Token('ID', 'flag', line=58, col=10)
Token('OR', '||', line=58, col=15)
Token('ID', 'result', line=58, col=18)
Token('EQ', '==', line=58, col=25)
Token('NULL_KW', 'null', line=58, col=28)
Token('RPAREN', ')', line=58, col=32)
Token('LBRACE', '{', line=58, col=34)
Token('RETURN', 'return', line=59, col=9)
Token('INT_LIT', '0', line=59, col=16)
Token('SEMI', ';', line=59, col=17)
Token('RBRACE', '}', line=60, col=5)
Token('T_INT', 'int', line=62, col=5)
Token('ID', 'shifted', line=62, col=9)
Token('ASSIGN', '=', line=62, col=17)
Token('ID', 'x', line=62, col=19)
Token('LSHIFT', '<<', line=62, col=21)
Token('INT_LIT', '2', line=62, col=24)
Token('SEMI', ';', line=62, col=25)
Token('ID', 'shifted', line=63, col=5)
Token('ASSIGN', '=', line=63, col=13)
Token('ID', 'shifted', line=63, col=15)
Token('RSHIFT', '>>', line=63, col=23)
Token('INT_LIT', '1', line=63, col=26)
Token('SEMI', ';', line=63, col=27)
Token('RETURN', 'return', line=65, col=5)
Token('ID', 'result', line=65, col=12)
Token('SEMI', ';', line=65, col=18)
Token('RBRACE', '}', line=66, col=1)
Token('STRUCT', 'struct', line=68, col=1)
Token('ID', 'Point', line=68, col=8)
Token('LBRACE', '{', line=68, col=14)
Token('T_INT', 'int', line=69, col=5)
Token('ID', 'x', line=69, col=9)
Token('SEMI', ';', line=69, col=10)
Token('T_INT', 'int', line=70, col=5)
Token('ID', 'y', line=70, col=9)
Token('SEMI', ';', line=70, col=10)
Token('RBRACE', '}', line=71, col=1)
Token('SEMI', ';', line=71, col=2)
Token('CONST', 'const', line=73, col=1)
Token('T_FLOAT', 'float', line=73, col=7)
Token('ID', 'PI', line=73, col=13)
Token('ASSIGN', '=', line=73, col=16)
Token('FLOAT_LIT', '3.14', line=73, col=18)
Token('SEMI', ';', line=73, col=22)
Token('T_INT', 'int', line=74, col=1)
Token('ID', 'counter', line=74, col=5)
Token('ASSIGN', '=', line=74, col=13)
Token('INT_LIT', '0', line=74, col=15)
Token('SEMI', ';', line=74, col=16)
Token('T_INT', 'int', line=75, col=1)
Token('ID', 'arr', line=75, col=5)
Token('LBRACKET', '[', line=75, col=8)
Token('INT_LIT', '10', line=75, col=9)
Token('RBRACKET', ']', line=75, col=11)
Token('SEMI', ';', line=75, col=12)
Token('T_VOID', 'void', line=77, col=1)
Token('ID', 'swap', line=77, col=6)
Token('LPAREN', '(', line=77, col=10)
Token('T_INT', 'int', line=77, col=11)
Token('ID', 'a', line=77, col=15)
Token('COMMA', ',', line=77, col=16)
Token('T_INT', 'int', line=77, col=18)
Token('ID', 'b', line=77, col=22)
Token('RPAREN', ')', line=77, col=23)
Token('LBRACE', '{', line=77, col=25)
Token('T_INT', 'int', line=78, col=5)
Token('ID', 'temp', line=78, col=9)
Token('ASSIGN', '=', line=78, col=14)
Token('ID', 'a', line=78, col=16)
Token('SEMI', ';', line=78, col=17)
Token('ID', 'a', line=79, col=5)
Token('ASSIGN', '=', line=79, col=7)
Token('ID', 'b', line=79, col=9)
Token('SEMI', ';', line=79, col=10)
Token('ID', 'b', line=80, col=5)
Token('ASSIGN', '=', line=80, col=7)
Token('ID', 'temp', line=80, col=9)
Token('SEMI', ';', line=80, col=13)
Token('RBRACE', '}', line=81, col=1)
Token('T_INT', 'int', line=83, col=1)
Token('ID', 'factorial', line=83, col=5)
Token('LPAREN', '(', line=83, col=14)
Token('T_INT', 'int', line=83, col=15)
Token('ID', 'n', line=83, col=19)
Token('RPAREN', ')', line=83, col=20)
Token('LBRACE', '{', line=83, col=22)
Token('IF', 'if', line=84, col=5)
Token('LPAREN', '(', line=84, col=8)
Token('ID', 'n', line=84, col=9)
Token('LEQ', '<=', line=84, col=11)
Token('INT_LIT', '1', line=84, col=14)
Token('RPAREN', ')', line=84, col=15)
Token('LBRACE', '{', line=84, col=17)
Token('RETURN', 'return', line=85, col=9)
Token('INT_LIT', '1', line=85, col=16)
Token('SEMI', ';', line=85, col=17)
Token('RBRACE', '}', line=86, col=5)
Token('RETURN', 'return', line=87, col=5)
Token('ID', 'n', line=87, col=12)
Token('TIMES', '*', line=87, col=14)
Token('ID', 'factorial', line=87, col=16)
Token('LPAREN', '(', line=87, col=25)
Token('ID', 'n', line=87, col=26)
Token('MINUS', '-', line=87, col=28)
Token('INT_LIT', '1', line=87, col=30)
Token('RPAREN', ')', line=87, col=31)
Token('SEMI', ';', line=87, col=32)
Token('RBRACE', '}', line=88, col=1)
Token('T_INT', 'int', line=90, col=1)
Token('ID', 'main', line=90, col=5)
Token('LPAREN', '(', line=90, col=9)
Token('RPAREN', ')', line=90, col=10)
Token('LBRACE', '{', line=90, col=12)
Token('T_INT', 'int', line=91, col=5)
Token('ID', 'x', line=91, col=9)
Token('ASSIGN', '=', line=91, col=11)
Token('HEX_LIT', '0xFF', line=91, col=13)
Token('SEMI', ';', line=91, col=17)
Token('T_INT', 'int', line=92, col=5)
Token('ID', 'y', line=92, col=9)
Token('ASSIGN', '=', line=92, col=11)
Token('INT_LIT', '42', line=92, col=13)
Token('SEMI', ';', line=92, col=15)
Token('T_FLOAT', 'float', line=93, col=5)
Token('ID', 'z', line=93, col=11)
Token('ASSIGN', '=', line=93, col=13)
Token('FLOAT_LIT', '1.5', line=93, col=15)
Token('SEMI', ';', line=93, col=18)
Token('FOR', 'for', line=95, col=5)
Token('LPAREN', '(', line=95, col=9)
Token('T_INT', 'int', line=95, col=10)
Token('ID', 'i', line=95, col=14)
Token('ASSIGN', '=', line=95, col=16)
Token('INT_LIT', '0', line=95, col=18)
Token('SEMI', ';', line=95, col=19)
Token('ID', 'i', line=95, col=21)
Token('LT', '<', line=95, col=23)
Token('INT_LIT', '10', line=95, col=25)
Token('SEMI', ';', line=95, col=27)
Token('ID', 'i', line=95, col=29)
Token('INC', '++', line=95, col=30)
Token('RPAREN', ')', line=95, col=32)
Token('LBRACE', '{', line=95, col=34)
Token('ID', 'arr', line=96, col=9)
Token('LBRACKET', '[', line=96, col=12)
Token('ID', 'i', line=96, col=13)
Token('RBRACKET', ']', line=96, col=14)
Token('ASSIGN', '=', line=96, col=16)
Token('ID', 'i', line=96, col=18)
Token('TIMES', '*', line=96, col=20)
Token('INT_LIT', '2', line=96, col=22)
Token('SEMI', ';', line=96, col=23)
Token('ID', 'counter', line=97, col=9)
Token('INC', '++', line=97, col=16)
Token('SEMI', ';', line=97, col=18)
Token('RBRACE', '}', line=98, col=5)
Token('IF', 'if', line=100, col=5)
Token('LPAREN', '(', line=100, col=8)
Token('ID', 'x', line=100, col=9)
Token('EQ', '==', line=100, col=11)
Token('ID', 'y', line=100, col=14)
Token('OR', '||', line=100, col=16)
Token('ID', 'x', line=100, col=19)
Token('NEQ', '!=', line=100, col=21)
Token('INT_LIT', '0', line=100, col=24)
Token('RPAREN', ')', line=100, col=25)
Token('LBRACE', '{', line=100, col=27)
Token('ID', 'x', line=101, col=9)
Token('PLUS_ASSIGN', '+=', line=101, col=11)
Token('INT_LIT', '10', line=101, col=14)
Token('SEMI', ';', line=101, col=16)
Token('ID', 'y', line=102, col=9)
Token('MINUS_ASSIGN', '-=', line=102, col=11)
Token('INT_LIT', '5', line=102, col=14)
Token('SEMI', ';', line=102, col=15)
Token('RBRACE', '}', line=103, col=5)
Token('ELSE', 'else', line=103, col=7)
Token('LBRACE', '{', line=103, col=12)
Token('ID', 'x', line=104, col=9)
Token('TIMES_ASSIGN', '*=', line=104, col=11)
Token('INT_LIT', '2', line=104, col=14)
Token('SEMI', ';', line=104, col=15)
Token('ID', 'y', line=105, col=9)
Token('DIV_ASSIGN', '/=', line=105, col=11)
Token('INT_LIT', '3', line=105, col=14)
Token('SEMI', ';', line=105, col=15)
Token('RBRACE', '}', line=106, col=5)
Token('WHILE', 'while', line=108, col=5)
Token('LPAREN', '(', line=108, col=11)
Token('ID', 'y', line=108, col=12)
Token('GT', '>', line=108, col=14)
Token('INT_LIT', '0', line=108, col=16)
Token('AND', '&&', line=108, col=18)
Token('ID', 'x', line=108, col=21)
Token('LT', '<', line=108, col=23)
Token('INT_LIT', '100', line=108, col=25)
Token('RPAREN', ')', line=108, col=28)
Token('LBRACE', '{', line=108, col=30)
Token('ID', 'y', line=109, col=9)
Token('DEC', '--', line=109, col=10)
Token('SEMI', ';', line=109, col=12)
Token('ID', 'x', line=110, col=9)
Token('INC', '++', line=110, col=10)
Token('SEMI', ';', line=110, col=12)
Token('IF', 'if', line=111, col=9)
Token('LPAREN', '(', line=111, col=12)
Token('ID', 'y', line=111, col=13)
Token('MOD', '%', line=111, col=15)
Token('INT_LIT', '2', line=111, col=17)
Token('EQ', '==', line=111, col=19)
Token('INT_LIT', '0', line=111, col=22)
Token('RPAREN', ')', line=111, col=23)
Token('LBRACE', '{', line=111, col=25)
Token('CONTINUE', 'continue', line=112, col=13)
Token('SEMI', ';', line=112, col=21)
Token('RBRACE', '}', line=113, col=9)
Token('IF', 'if', line=114, col=9)
Token('LPAREN', '(', line=114, col=12)
Token('ID', 'x', line=114, col=13)
Token('GT', '>', line=114, col=15)
Token('INT_LIT', '50', line=114, col=17)
Token('RPAREN', ')', line=114, col=19)
Token('LBRACE', '{', line=114, col=21)
Token('BREAK', 'break', line=115, col=13)
Token('SEMI', ';', line=115, col=18)
Token('RBRACE', '}', line=116, col=9)
Token('RBRACE', '}', line=117, col=5)
Token('T_INT', 'int', line=119, col=5)
Token('ID', 'result', line=119, col=9)
Token('ASSIGN', '=', line=119, col=16)
Token('ID', 'factorial', line=119, col=18)
Token('LPAREN', '(', line=119, col=27)
Token('INT_LIT', '5', line=119, col=28)
Token('RPAREN', ')', line=119, col=29)
Token('SEMI', ';', line=119, col=30)
Token('ID', 'Point', line=120, col=5)
Token('ID', 'p', line=120, col=11)
Token('SEMI', ';', line=120, col=12)
Token('ID', 'p', line=121, col=5)
Token('DOT', '.', line=121, col=6)
Token('ID', 'x', line=121, col=7)
Token('ASSIGN', '=', line=121, col=9)
Token('ID', 'result', line=121, col=11)
Token('SEMI', ';', line=121, col=17)
Token('ID', 'p', line=122, col=5)
Token('DOT', '.', line=122, col=6)
Token('ID', 'y', line=122, col=7)
Token('ASSIGN', '=', line=122, col=9)
Token('ID', 'counter', line=122, col=11)
Token('SEMI', ';', line=122, col=18)
Token('ID', 'bool', line=124, col=5)
Token('ID', 'flag', line=124, col=10)
Token('ASSIGN', '=', line=124, col=15)
Token('TRUE', 'true', line=124, col=17)
Token('SEMI', ';', line=124, col=21)
Token('IF', 'if', line=125, col=5)
Token('LPAREN', '(', line=125, col=8)
Token('NOT', '!', line=125, col=9)
Token('ID', 'flag', line=125, col=10)
Token('OR', '||', line=125, col=15)
Token('ID', 'result', line=125, col=18)
Token('EQ', '==', line=125, col=25)
Token('NULL_KW', 'null', line=125, col=28)
Token('RPAREN', ')', line=125, col=32)
Token('LBRACE', '{', line=125, col=34)
Token('RETURN', 'return', line=126, col=9)
Token('INT_LIT', '0', line=126, col=16)
Token('SEMI', ';', line=126, col=17)
Token('RBRACE', '}', line=127, col=5)
Token('T_INT', 'int', line=129, col=5)
Token('ID', 'shifted', line=129, col=9)
Token('ASSIGN', '=', line=129, col=17)
Token('ID', 'x', line=129, col=19)
Token('LSHIFT', '<<', line=129, col=21)
Token('INT_LIT', '2', line=129, col=24)
Token('SEMI', ';', line=129, col=25)
Token('ID', 'shifted', line=130, col=5)
Token('ASSIGN', '=', line=130, col=13)
Token('ID', 'shifted', line=130, col=15)
Token('RSHIFT', '>>', line=130, col=23)
Token('INT_LIT', '1', line=130, col=26)
Token('SEMI', ';', line=130, col=27)
Token('RETURN', 'return', line=132, col=5)
Token('ID', 'result', line=132, col=12)
Token('SEMI', ';', line=132, col=18)
Token('RBRACE', '}', line=133, col=1)
Token('STRUCT', 'struct', line=135, col=1)
Token('ID', 'Point', line=135, col=8)
Token('LBRACE', '{', line=135, col=14)
Token('T_INT', 'int', line=136, col=5)
Token('ID', 'x', line=136, col=9)
Token('SEMI', ';', line=136, col=10)
Token('T_INT', 'int', line=137, col=5)
Token('ID', 'y', line=137, col=9)
Token('SEMI', ';', line=137, col=10)
Token('RBRACE', '}', line=138, col=1)
Token('SEMI', ';', line=138, col=2)
Token('CONST', 'const', line=140, col=1)
Token('T_FLOAT', 'float', line=140, col=7)
Token('ID', 'PI', line=140, col=13)
Token('ASSIGN', '=', line=140, col=16)
Token('FLOAT_LIT', '3.14', line=140, col=18)
Token('SEMI', ';', line=140, col=22)
Token('T_INT', 'int', line=141, col=1)
Token('ID', 'counter', line=141, col=5)
Token('ASSIGN', '=', line=141, col=13)
Token('INT_LIT', '0', line=141, col=15)
Token('SEMI', ';', line=141, col=16)
Token('T_INT', 'int', line=142, col=1)
Token('ID', 'arr', line=142, col=5)
Token('LBRACKET', '[', line=142, col=8)
Token('INT_LIT', '10', line=142, col=9)
Token('RBRACKET', ']', line=142, col=11)
Token('SEMI', ';', line=142, col=12)
Token('T_VOID', 'void', line=144, col=1)
Token('ID', 'swap', line=144, col=6)
Token('LPAREN', '(', line=144, col=10)
Token('T_INT', 'int', line=144, col=11)
Token('ID', 'a', line=144, col=15)
Token('COMMA', ',', line=144, col=16)
Token('T_INT', 'int', line=144, col=18)
Token('ID', 'b', line=144, col=22)
Token('RPAREN', ')', line=144, col=23)
Token('LBRACE', '{', line=144, col=25)
Token('T_INT', 'int', line=145, col=5)
Token('ID', 'temp', line=145, col=9)
Token('ASSIGN', '=', line=145, col=14)
Token('ID', 'a', line=145, col=16)
Token('SEMI', ';', line=145, col=17)
Token('ID', 'a', line=146, col=5)
Token('ASSIGN', '=', line=146, col=7)
Token('ID', 'b', line=146, col=9)
Token('SEMI', ';', line=146, col=10)
Token('ID', 'b', line=147, col=5)
Token('ASSIGN', '=', line=147, col=7)
Token('ID', 'temp', line=147, col=9)
Token('SEMI', ';', line=147, col=13)
Token('RBRACE', '}', line=148, col=1)
Token('T_INT', 'int', line=150, col=1)
Token('ID', 'factorial', line=150, col=5)
Token('LPAREN', '(', line=150, col=14)
Token('T_INT', 'int', line=150, col=15)
Token('ID', 'n', line=150, col=19)
Token('RPAREN', ')', line=150, col=20)
Token('LBRACE', '{', line=150, col=22)
Token('IF', 'if', line=151, col=5)
Token('LPAREN', '(', line=151, col=8)
Token('ID', 'n', line=151, col=9)
Token('LEQ', '<=', line=151, col=11)
Token('INT_LIT', '1', line=151, col=14)
Token('RPAREN', ')', line=151, col=15)
Token('LBRACE', '{', line=151, col=17)
Token('RETURN', 'return', line=152, col=9)
Token('INT_LIT', '1', line=152, col=16)
Token('SEMI', ';', line=152, col=17)
Token('RBRACE', '}', line=153, col=5)
Token('RETURN', 'return', line=154, col=5)
Token('ID', 'n', line=154, col=12)
Token('TIMES', '*', line=154, col=14)
Token('ID', 'factorial', line=154, col=16)
Token('LPAREN', '(', line=154, col=25)
Token('ID', 'n', line=154, col=26)
Token('MINUS', '-', line=154, col=28)
Token('INT_LIT', '1', line=154, col=30)
Token('RPAREN', ')', line=154, col=31)
Token('SEMI', ';', line=154, col=32)
Token('RBRACE', '}', line=155, col=1)
Token('T_INT', 'int', line=157, col=1)
Token('ID', 'main', line=157, col=5)
Token('LPAREN', '(', line=157, col=9)
Token('RPAREN', ')', line=157, col=10)
Token('LBRACE', '{', line=157, col=12)
Token('T_INT', 'int', line=158, col=5)
Token('ID', 'x', line=158, col=9)
Token('ASSIGN', '=', line=158, col=11)
Token('HEX_LIT', '0xFF', line=158, col=13)
Token('SEMI', ';', line=158, col=17)
Token('T_INT', 'int', line=159, col=5)
Token('ID', 'y', line=159, col=9)
Token('ASSIGN', '=', line=159, col=11)
Token('INT_LIT', '42', line=159, col=13)
Token('SEMI', ';', line=159, col=15)
Token('T_FLOAT', 'float', line=160, col=5)
Token('ID', 'z', line=160, col=11)
Token('ASSIGN', '=', line=160, col=13)
Token('FLOAT_LIT', '1.5', line=160, col=15)
Token('SEMI', ';', line=160, col=18)
Token('FOR', 'for', line=162, col=5)
Token('LPAREN', '(', line=162, col=9)
Token('T_INT', 'int', line=162, col=10)
Token('ID', 'i', line=162, col=14)
Token('ASSIGN', '=', line=162, col=16)
Token('INT_LIT', '0', line=162, col=18)
Token('SEMI', ';', line=162, col=19)
Token('ID', 'i', line=162, col=21)
Token('LT', '<', line=162, col=23)
Token('INT_LIT', '10', line=162, col=25)
Token('SEMI', ';', line=162, col=27)
Token('ID', 'i', line=162, col=29)
Token('INC', '++', line=162, col=30)
Token('RPAREN', ')', line=162, col=32)
Token('LBRACE', '{', line=162, col=34)
Token('ID', 'arr', line=163, col=9)
Token('LBRACKET', '[', line=163, col=12)
Token('ID', 'i', line=163, col=13)
Token('RBRACKET', ']', line=163, col=14)
Token('ASSIGN', '=', line=163, col=16)
Token('ID', 'i', line=163, col=18)
Token('TIMES', '*', line=163, col=20)
Token('INT_LIT', '2', line=163, col=22)
Token('SEMI', ';', line=163, col=23)
Token('ID', 'counter', line=164, col=9)
Token('INC', '++', line=164, col=16)
Token('SEMI', ';', line=164, col=18)
Token('RBRACE', '}', line=165, col=5)
Token('IF', 'if', line=167, col=5)
Token('LPAREN', '(', line=167, col=8)
Token('ID', 'x', line=167, col=9)
Token('EQ', '==', line=167, col=11)
Token('ID', 'y', line=167, col=14)
Token('OR', '||', line=167, col=16)
Token('ID', 'x', line=167, col=19)
Token('NEQ', '!=', line=167, col=21)
Token('INT_LIT', '0', line=167, col=24)
Token('RPAREN', ')', line=167, col=25)
Token('LBRACE', '{', line=167, col=27)
Token('ID', 'x', line=168, col=9)
Token('PLUS_ASSIGN', '+=', line=168, col=11)
Token('INT_LIT', '10', line=168, col=14)
Token('SEMI', ';', line=168, col=16)
Token('ID', 'y', line=169, col=9)
Token('MINUS_ASSIGN', '-=', line=169, col=11)
Token('INT_LIT', '5', line=169, col=14)
Token('SEMI', ';', line=169, col=15)
Token('RBRACE', '}', line=170, col=5)
Token('ELSE', 'else', line=170, col=7)
Token('LBRACE', '{', line=170, col=12)
Token('ID', 'x', line=171, col=9)
Token('TIMES_ASSIGN', '*=', line=171, col=11)
Token('INT_LIT', '2', line=171, col=14)
Token('SEMI', ';', line=171, col=15)
Token('ID', 'y', line=172, col=9)
Token('DIV_ASSIGN', '/=', line=172, col=11)
